# 开心输入法 8105 个常用单字词库
# 频率顺序：wordfreq 3.1.1 中文词频；仅保留拼音引擎支持的汉字。
# 权重：按词频名次线性映射到 10000..1，严格降序。
# 格式：汉字<TAB>权重；拼音由引擎自动生成，以保留多音字全部读音。
剃	7434
匪	7433
咖	7432
彻	7430
恒	7429
氨	7428
洒	7427
淫	7425
畔	7424
究	7423
综	7422
莲	7421
藤	7419
觅	7418
誓	7417
鹅	7416
勾	7414
啃	7413
喀	7412
囊	7411
塌	7409
壹	7408
妥	7407
宏	7406
屯	7405
忌	7403
昆	7402
晓	7401
渝	7400
澡	7398
苗	7397
趴	7396
铬	7395
仆	7393
勋	7392
圭	7391
庵	7390
悬	7388
效	7387
枕	7386
橙	7385
氮	7384
洁	7382
渐	7381
猿	7380
睁	7379
磕	7377
磷	7376
祥	7375
蒸	7374
亨	7372
伽	7371
凌	7370
咒	7369
奸	7367
崩	7366
帧	7365
惟	7364
昏	7363
暴	7361
樱	7360
祂	7359
竖	7358
裕	7356
裸	7355
韬	7354
僧	7353
卵	7351
嘘	7350
妾	7349
抠	7348
拦	7347
柴	7345
淑	7344
瞅	7343
瞪	7342
窃	7340
粑	7339
芝	7338
遵	7337
鹏	7335
址	7334
坝	7333
埔	7332
循	7330
愣	7329
滩	7328
潭	7327
炖	7326
禾	7324
笼	7323
翅	7322
腹	7321
薪	7319
虏	7318
虐	7317
衡	7316
逐	7314
钛	7313
铃	7312
锌	7311
镶	7310
霜	7308
颂	7307
伟	7306
俗	7305
幢	7303
彦	7302
悲	7301
昂	7300
析	7298
柏	7297
浜	7296
炎	7295
甫	7293
瞄	7292
矛	7291
窜	7290
纱	7289
羽	7287
遣	7286
冤	7285
咨	7284
妓	7282
媒	7281
宇	7280
怨	7279
惧	7277
桃	7276
梗	7275
滇	7274
滨	7272
珂	7271
禅	7270
耗	7269
胎	7268
臂	7266
蛙	7265
融	7264
诏	7263
谎	7261
馋	7260
刊	7259
勃	7258
囧	7256
契	7255
奕	7254
尹	7253
巫	7252
弥	7250
敏	7249
毫	7248
浮	7247
窑	7245
缇	7244
荒	7243
萌	7242
蜂	7240
详	7239
趣	7238
辟	7237
陕	7235
兮	7234
危	7233
坠	7232
垂	7231
培	7229
婶	7228
峇	7227
拌	7226
攀	7224
杏	7223
栗	7222
歼	7221
浦	7219
睿	7218
笛	7217
芭	7216
萝	7215
衫	7213
践	7212
醇	7211
镁	7210
镍	7208
陀	7207
鲤	7206
丛	7205
剌	7203
厘	7202
塘	7201
姚	7200
尘	7198
慧	7197
戦	7196
截	7195
挠	7194
瘾	7192
磁	7191
绮	7190
裂	7189
詹	7187
辉	7186
遥	7185
镉	7184
僵	7182
嗣	7181
敦	7180
秃	7179
笃	7177
苯	7176
贯	7175
赎	7174
逸	7173
鸣	7171
姊	7170
巷	7169
拐	7168
拧	7166
拱	7165
掏	7164
旋	7163
植	7161
滥	7160
焉	7159
狄	7158
螺	7157
踹	7155
驱	7154
削	7153
垮	7152
宿	7150
岱	7149
徙	7148
忒	7147
擒	7145
昭	7144
琅	7143
瘤	7142
碱	7140
繁	7139
绍	7138
绫	7137
诱	7136
蹭	7134
辱	7133
逮	7132
钦	7131
丶	7129
叼	7128
噗	7127
夷	7126
婆	7124
宴	7123
巢	7122
悟	7121
暮	7119
杠	7118
柔	7117
楞	7116
燕	7115
腻	7113
葱	7112
谥	7111
豫	7110
蹦	7108
钡	7107
钾	7106
闸	7105
凸	7103
叮	7102
呸	7101
哉	7100
娅	7099
巳	7097
庞	7096
忽	7095
挪	7094
掠	7092
